sound_id,game_zone,source_type,sub_category,audioset_class,all_labels,fname,file_path,source_dataset,original_fname,duration_sec,ambiguous
Forest_155299,Forest,Biological,Motorcycle,Motorcycle,"Motorcycle, Dog, Domestic animals and pets, Animal, Motor vehicle (road), Vehicle",155299,Audio/Forest/155299,FSD50K,155299,,False
Forest_066514,Forest,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",66514,Audio/Forest/66514,FSD50K,66514,,False
Forest_245673,Forest,Biological,Chatter,Chatter,"Chatter, Chirp and tweet, Livestock and farm animals and working animals, Human group actions, Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",245673,Audio/Forest/245673,FSD50K,245673,,False
Forest_108766,Forest,Biological,Crow,Crow,"Crow, Bird, Wild animals, Animal",108766,Audio/Forest/108766,FSD50K,108766,,False
Forest_400575,Forest,Biological,Cat,Cat,"Cat, Domestic animals and pets, Animal",400575,Audio/Forest/400575,FSD50K,400575,,False
Forest_236044,Forest,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236044,Audio/Forest/236044,FSD50K,236044,,False
Forest_369577,Forest,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",369577,Audio/Forest/369577,FSD50K,369577,,False
Forest_019176,Forest,Biological,Chirp and tweet,Chirp and tweet,"Chirp and tweet, Bird, Wild animals, Animal, Bird vocalization and bird call and bird song",19176,Audio/Forest/19176,FSD50K,19176,,False
Forest_053590,Forest,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",53590,Audio/Forest/53590,FSD50K,53590,,False
Forest_390153,Forest,Biological,Gull and seagull,Gull and seagull,"Gull and seagull, Waves and surf, Bird, Wild animals, Animal, Ocean, Water",390153,Audio/Forest/390153,FSD50K,390153,,False
Forest_114435,Forest,Biological,Bird,Bird,"Bird, Wild animals, Animal",114435,Audio/Forest/114435,FSD50K,114435,,False
Forest_334520,Forest,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",334520,Audio/Forest/334520,FSD50K,334520,,False
Forest_236259,Forest,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",236259,Audio/Forest/236259,FSD50K,236259,,False
